filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
12_守沢千秋_グラフ_Ai☆$!!.png,OK,3,0.110000,0.765000,0.125000,100.765,76.500,93.617,79.923,S+,Balanced Player,375,20.84491384102279,20.84491384102279,ブロンズランカー,
12_守沢千秋_グラフ_BIGBANG REFLECTION!!.png,OK,3,0.060302,0.733668,0.206030,100.734,73.367,45.283,67.750,A+,Fast Type,1373,76.32017787659811,76.32017787659811,グリーンランカー,
12_守沢千秋_グラフ_CIVIL WAR.PNG,OK,3,0.035000,0.870000,0.095000,100.870,87.000,53.846,80.369,SS,Amazing Specialist,341,18.95497498610339,18.95497498610339,シルバーランカー,
12_守沢千秋_グラフ_Dear World(3DMV).PNG,OK,3,0.069652,0.865672,0.064677,100.866,86.567,96.296,88.513,SSS+,Precision Master,9,0.500277932184547,0.500277932184547,レインボーランカー,
12_守沢千秋_グラフ_Dear World(ムービー).PNG,OK,3,0.030000,0.850000,0.120000,100.850,85.000,40.000,76.000,S,Amazing Specialist,722,40.133407448582545,40.133407448582545,パープルランカー,
12_守沢千秋_グラフ_Deep into you.PNG,OK,3,0.040462,0.838150,0.121387,100.838,83.815,50.000,77.052,S,Amazing Specialist,618,34.35241801000556,34.35241801000556,パープルランカー,
12_守沢千秋_グラフ_Fight Is Only Fate.png,OK,3,0.065000,0.760000,0.175000,100.760,76.000,54.167,71.633,AA+,Fast Type,1099,61.08949416342413,61.08949416342413,オレンジランカー,
12_守沢千秋_グラフ_FORBIDDEN RAIN.png,OK,3,0.075377,0.748744,0.175879,100.749,74.874,60.000,71.899,AA+,Fast Type,1082,60.144524735964424,60.144524735964424,オレンジランカー,
12_守沢千秋_グラフ_Graceful Punishment.PNG,OK,3,0.069364,0.786127,0.144509,100.786,78.613,64.865,75.863,AAA+,Fast Type,743,41.30072262367982,41.30072262367982,パープルランカー,
12_守沢千秋_グラフ_It's k(not) lov.PNG,OK,3,0.075581,0.732558,0.191860,100.733,73.256,56.522,69.909,AA,Fast Type,1240,68.92718176764869,68.92718176764869,オレンジランカー,
12_守沢千秋_グラフ_Joyful×box.PNG,OK,3,0.017241,0.689655,0.293103,100.690,68.966,11.111,57.395,CCC,Fast Type,1725,95.88660366870484,95.88660366870484,ホワイトランカー,
12_守沢千秋_グラフ_LOUDEST BUGS.png,OK,3,0.045000,0.810000,0.145000,100.810,81.000,47.368,74.274,AAA+,Amazing Specialist,884,49.13841022790439,49.13841022790439,パープルランカー,
12_守沢千秋_グラフ_Rainbow Stairway.png,OK,3,0.035176,0.758794,0.206030,100.759,75.879,29.167,66.537,A+,Fast Type,1443,80.2112284602557,80.2112284602557,ブルーランカー,
12_守沢千秋_グラフ_Stranger's Sun.PNG,OK,3,0.110000,0.795000,0.095000,100.795,79.500,92.683,82.137,SS+,Balanced Player,215,11.951083935519733,11.951083935519733,シルバーランカー,
12_守沢千秋_グラフ_The・プリティカルパレード♪.PNG,OK,3,0.055000,0.820000,0.125000,100.820,82.000,61.111,77.822,S,Amazing Specialist,544,30.239021678710394,30.239021678710394,パープルランカー,
